"","var","rel.inf","run"
"logCoastPop11","logCoastPop",4.45376476572303,113
"HDI11","HDI",3.79362043498226,113
"logEstDis11","logEstDis",3.50358254054891,113
"logFishEffort11","logFishEffort",2.35126954472498,113
"logPprodMean11","logPprodMean",2.03396945693004,113
"SstMean11","SstMean",1.69687932328951,113
"speciessmall11","speciessmall",0.515538914425675,113
"speciesgreen11","speciesgreen",0.424880429723368,113
"specieslarge11","specieslarge",0.32743234150187,113
"speciesdwarf11","speciesdwarf",0,113
"speciesnarrow11","speciesnarrow",0,113
"logShelfAreaShallow12","logShelfAreaShallow",24.356000935117,123
"logMang12","logMang",14.8533585783417,123
"logtotalGearTonnes12","logtotalGearTonnes",14.0470737123956,123
"logProteinDiet12","logProteinDiet",8.65498832253673,123
"WGI12","WGI",7.11261894793995,123
"logGDP12","logGDP",6.34266515633566,123
"logChondCatch12","logChondCatch",5.65940822341892,123
"logCoastPop12","logCoastPop",4.80035183470248,123
"HDI12","HDI",3.65026199190957,123
"logEstDis12","logEstDis",3.17204390692609,123
"logFishEffort12","logFishEffort",2.40702302697149,123
"logPprodMean12","logPprodMean",2.06254639272165,123
"SstMean12","SstMean",1.62075211865004,123
"speciessmall12","speciessmall",0.500425374764832,123
"speciesgreen12","speciesgreen",0.441109207755121,123
"specieslarge12","specieslarge",0.319372269513151,123
"speciesdwarf12","speciesdwarf",0,123
"speciesnarrow12","speciesnarrow",0,123
"logShelfAreaShallow13","logShelfAreaShallow",25.1847415905249,133
"logMang13","logMang",14.8487900923822,133
"logtotalGearTonnes13","logtotalGearTonnes",14.3863338061192,133
"logProteinDiet13","logProteinDiet",8.97340143998668,133
"WGI13","WGI",7.2044538896566,133
"logGDP13","logGDP",5.71799971300394,133
"logChondCatch13","logChondCatch",4.85339376550908,133
"logCoastPop13","logCoastPop",4.42389091936801,133
"logEstDis13","logEstDis",3.99005816642782,133
"HDI13","HDI",3.48362794207455,133
"logFishEffort13","logFishEffort",1.90501340899208,133
"logPprodMean13","logPprodMean",1.87706652255658,133
"SstMean13","SstMean",1.78012726564156,133
"speciessmall13","speciessmall",0.690722430235004,133
"speciesgreen13","speciesgreen",0.523977114860307,133
"specieslarge13","specieslarge",0.156401932661444,133
"speciesdwarf13","speciesdwarf",0,133
"speciesnarrow13","speciesnarrow",0,133
"logShelfAreaShallow14","logShelfAreaShallow",25.4001434544701,144
"logMang14","logMang",14.9801198557128,144
"logtotalGearTonnes14","logtotalGearTonnes",14.3187018126622,144
"logProteinDiet14","logProteinDiet",9.08255514143367,144
"WGI14","WGI",7.03078262437526,144
"logGDP14","logGDP",5.98674581095602,144
"logCoastPop14","logCoastPop",5.21202198238182,144
"logChondCatch14","logChondCatch",4.46863613947653,144
"HDI14","HDI",3.74511940522841,144
"logEstDis14","logEstDis",2.90997513890081,144
"logPprodMean14","logPprodMean",2.26621932963301,144
"logFishEffort14","logFishEffort",2.10360031857289,144
"SstMean14","SstMean",1.59234690660296,144
"speciesgreen14","speciesgreen",0.447632682260561,144
"speciessmall14","speciessmall",0.302521513246531,144
"specieslarge14","specieslarge",0.152877884086384,144
"speciesdwarf14","speciesdwarf",0,144
"speciesnarrow14","speciesnarrow",0,144
"logShelfAreaShallow15","logShelfAreaShallow",25.653338635326,153
"logtotalGearTonnes15","logtotalGearTonnes",14.4233443880567,153
"logMang15","logMang",13.9694158324566,153
"logProteinDiet15","logProteinDiet",9.49415875364263,153
"WGI15","WGI",7.16059049355909,153
"logChondCatch15","logChondCatch",5.73409463011219,153
"logCoastPop15","logCoastPop",5.01588478189638,153
"logGDP15","logGDP",4.96657967091232,153
"logEstDis15","logEstDis",3.31083779330915,153
"HDI15","HDI",3.06512963696855,153
"logFishEffort15","logFishEffort",2.47680788356727,153
"logPprodMean15","logPprodMean",2.09664664520692,153
"SstMean15","SstMean",1.43603208239082,153
"speciesgreen15","speciesgreen",0.573130399092228,153
"speciessmall15","speciessmall",0.466275362868945,153
"specieslarge15","specieslarge",0.157733010634143,153
"speciesdwarf15","speciesdwarf",0,153
"speciesnarrow15","speciesnarrow",0,153
"logShelfAreaShallow16","logShelfAreaShallow",24.3520603288173,163
"logMang16","logMang",14.1957649186326,163
"logtotalGearTonnes16","logtotalGearTonnes",13.4140308339542,163
"logProteinDiet16","logProteinDiet",10.0412793126005,163
"WGI16","WGI",7.145479103347,163
"logGDP16","logGDP",6.5576950068185,163
"logChondCatch16","logChondCatch",4.76090523321314,163
"logCoastPop16","logCoastPop",4.71329308400913,163
"logEstDis16","logEstDis",3.56245082458388,163
"HDI16","HDI",3.34583375956142,163
"logFishEffort16","logFishEffort",2.7584475754685,163
"logPprodMean16","logPprodMean",2.35166505991628,163
"SstMean16","SstMean",1.56895227435196,163
"speciessmall16","speciessmall",0.615996661891583,163
"speciesgreen16","speciesgreen",0.377829264670937,163
"specieslarge16","specieslarge",0.238316758163028,163
"speciesdwarf16","speciesdwarf",0,163
"speciesnarrow16","speciesnarrow",0,163
"logShelfAreaShallow17","logShelfAreaShallow",24.3990200280687,172
"logMang17","logMang",14.2868116443324,172
"logtotalGearTonnes17","logtotalGearTonnes",14.0539329469101,172
"logProteinDiet17","logProteinDiet",10.1099421290234,172
"WGI17","WGI",7.43261337484981,172
"logGDP17","logGDP",5.72992336917329,172
"logCoastPop17","logCoastPop",5.5497171526009,172
"logChondCatch17","logChondCatch",5.36128737336024,172
"HDI17","HDI",3.70771298174409,172
"logEstDis17","logEstDis",2.90187396430645,172
"logPprodMean17","logPprodMean",2.03774542209381,172
"logFishEffort17","logFishEffort",1.57742654549533,172
"SstMean17","SstMean",1.49142399907338,172
"speciessmall17","speciessmall",0.661922846913484,172
"speciesgreen17","speciesgreen",0.455559278097351,172
"specieslarge17","specieslarge",0.243086943957134,172
"speciesdwarf17","speciesdwarf",0,172
"speciesnarrow17","speciesnarrow",0,172
"logShelfAreaShallow18","logShelfAreaShallow",24.8128273162499,182
"logMang18","logMang",15.6840657730776,182
"logtotalGearTonnes18","logtotalGearTonnes",14.929370681668,182
"logProteinDiet18","logProteinDiet",9.4048531947369,182
"WGI18","WGI",7.2087561299303,182
"logGDP18","logGDP",5.38621606338422,182
"logChondCatch18","logChondCatch",4.95273400745167,182
"logCoastPop18","logCoastPop",4.49685604793801,182
"HDI18","HDI",3.64476069069325,182
"logEstDis18","logEstDis",2.77202216990059,182
"logPprodMean18","logPprodMean",2.09704027166847,182
"logFishEffort18","logFishEffort",2.07794078306419,182
"SstMean18","SstMean",1.25003592928572,182
"speciessmall18","speciessmall",0.529121727479227,182
"speciesgreen18","speciesgreen",0.505974611981842,182
"specieslarge18","specieslarge",0.247424601490112,182
"speciesdwarf18","speciesdwarf",0,182
"speciesnarrow18","speciesnarrow",0,182
"logShelfAreaShallow19","logShelfAreaShallow",24.8153972451309,191
"logMang19","logMang",14.8905420492229,191
"logtotalGearTonnes19","logtotalGearTonnes",14.7021676283141,191
"logProteinDiet19","logProteinDiet",9.15627907850947,191
"WGI19","WGI",7.08348155921018,191
"logGDP19","logGDP",6.26009207295963,191
"logCoastPop19","logCoastPop",4.62829140276158,191
"logChondCatch19","logChondCatch",4.35263655830225,191
"HDI19","HDI",3.68062937053573,191
"logEstDis19","logEstDis",3.08243681341447,191
"logFishEffort19","logFishEffort",2.42513683610473,191
"logPprodMean19","logPprodMean",2.35577043784968,191
"SstMean19","SstMean",1.36945779153401,191
"speciessmall19","speciessmall",0.503024745922176,191
"speciesgreen19","speciesgreen",0.463910052422069,191
"specieslarge19","specieslarge",0.230746357806184,191
"speciesdwarf19","speciesdwarf",0,191
"speciesnarrow19","speciesnarrow",0,191
"logShelfAreaShallow20","logShelfAreaShallow",25.2068972726298,202
"logMang20","logMang",14.7486403909253,202
"logtotalGearTonnes20","logtotalGearTonnes",13.6578827891059,202
"logProteinDiet20","logProteinDiet",9.46573565944917,202
"WGI20","WGI",7.41626360192384,202
"logGDP20","logGDP",5.02524406763104,202
"logChondCatch20","logChondCatch",4.85886757781931,202
