"","ISO3","occurrence","RunNo","PredValue"
"206","GHA",0,"82",0.264560988359692
"207","GIN",0,"82",0.0776592652643434
"208","GNQ",0,"82",0.0830700918280585
"209","GRD",0,"82",0.0361232896053067
"210","GRD",0,"82",0.0379830500748752
"211","GUY",1,"82",0.17811486008018
"212","HND",1,"82",0.920336657638224
"213","IDN",1,"82",0.598656004991682
"214","IDN",1,"82",0.640254897551434
"215","IND",1,"82",0.557823048325565
"216","LCA",0,"82",0.0353087797523469
"217","MAR",0,"82",0.234853082380763
"218","MOZ",1,"82",0.490303703985826
"219","MYS",0,"82",0.676415747156818
"220","MYS",0,"82",0.631881687822372
"221","PAK",1,"82",0.154455423536777
"222","PAK",1,"82",0.145000764779912
"223","PNG",1,"82",0.936571981493968
"224","TGO",0,"82",0.0442053437062833
"225","VCT",0,"82",0.0567457946998181
"226","ARE",1,"92",0.497418386061984
"227","BRB",0,"92",0.0994893760848004
"228","CIV",0,"92",0.290836000756986
"229","CIV",0,"92",0.159839100685314
"230","CMR",0,"92",0.39794638357323
"231","GHA",0,"92",0.336483887338338
"232","GIN",0,"92",0.175116784889431
"233","GNQ",0,"92",0.137381129412076
"234","GRD",0,"92",0.0843250023174073
"235","GRD",0,"92",0.088611347727056
"236","GUY",1,"92",0.347143863916381
"237","HND",1,"92",0.829060256379006
"238","IDN",1,"92",0.638438607128396
"239","IDN",1,"92",0.650065337157864
"240","IND",1,"92",0.509979546290769
"241","LCA",0,"92",0.0902521626996206
"242","MAR",0,"92",0.238914843223649
"243","MOZ",1,"92",0.604144172399904
"244","MYS",0,"92",0.603202968764548
"245","MYS",0,"92",0.571360844492466
"246","PAK",1,"92",0.216581855789042
"247","PAK",1,"92",0.214153506115335
"248","PNG",1,"92",0.858346014362056
"249","TGO",0,"92",0.11268321953782
"250","VCT",0,"92",0.126689112845503
"251","ARE",1,"101",0.348774607023799
"252","BRB",0,"101",0.0421836733234173
"253","CIV",0,"101",0.165528102590877
"254","CIV",0,"101",0.0739383252456764
"255","CMR",0,"101",0.300003241055773
"256","GHA",0,"101",0.221622618132657
"257","GIN",0,"101",0.0866321260299158
"258","GNQ",0,"101",0.0733002900014152
"259","GRD",0,"101",0.0370282985666495
"260","GRD",0,"101",0.0380230362357501
"261","GUY",1,"101",0.20081393205296
"262","HND",1,"101",0.918602731603479
"263","IDN",1,"101",0.60862125284215
"264","IDN",1,"101",0.635594021981766
"265","IND",1,"101",0.555651111826151
"266","LCA",0,"101",0.0351102454160133
"267","MAR",0,"101",0.238209113052645
"268","MOZ",1,"101",0.520408054659027
