"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","SstMean","logShelfAreaShallow","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"SLV",2,15.1459226272959,0.038571019455722,15.6453675136087,4.74666974826179,0.382434635410208,10.196100075317,0.68,4.49780101477618,-0.206615469833333,8.62819774945915,28,7.35785381223196,1.83304904672204,0,0,1,0,0
"KHM",2,16.3653085211608,0.00505761766261338,14.7964115584021,0,1.19771743115399,9.90437465894086,0.563,5.01352165454729,-0.753027804,0,27,9.97222636835367,4.49434119351625,0,0,0,1,0
"CHN",2,19.0128036348554,0.0190520623594425,19.5640007192515,8.43420746683755,1.58024225179583,16.2313480976449,0.738,2.84978459112579,-0.419930289166667,9.88542540971772,14.5,12.699012038303,6.54163046822293,0,0,0,1,0
"JPN",2,18.5837342589361,0.0174897369792396,18.6487982008638,5.36900879467057,2.50127355067783,15.4129082327706,0.903,1.15167005966749,1.35977548383333,12.4672746964275,13,10.985483414705,6.78173025651995,0,0,0,1,0
"KOR",2,18.0446395032782,0.0125546090521918,17.6699351492371,5.70711026474888,1.92175277056011,14.1599839781455,0.901,0,0.749123717333333,11.9557762702859,12,11.331809661044,5.8160061540646,0,0,0,1,0
"OMN",2,15.41796915775,0.0311099141791797,14.6986332621717,0,1.46407489662568,11.1018602555246,0.796,1.19371883986275,0.216900964333333,11.4641133005588,24.5,7.54345019441443,3.4730749772177,0,0,0,1,0
"SGP",2,11.5489732046246,0.031908466800916,15.3032329376009,2.12823170584927,0,12.6014088961836,0.925,1.19489241186461,1.58952560516667,7.60339933974067,28,6.12653149609964,1.20256103902333,0,0,0,1,0
"SOM",2,15.0793025976104,0.0187432084670386,15.4584729910068,5.19915979501482,0,8.7352035906187,0.508,3.88786186527128,-2.11142156516667,0,26,9.70644054734844,0.957934542457218,0,0,0,1,0
"TWN",2,16.3311977860092,0.0167384246736937,16.9263410217562,4.00131511290691,1.73375719222151,13.1719551249818,0.738,0.591282331821849,1.103024751,13.1932597693794,21,9.57658940718697,3.66930057101593,0,0,0,1,0
"THA",2,17.7113535462764,0.00560745976976474,17.0936058955924,5.73285572214191,1.50796918500391,12.9166351206798,0.74,6.43257495824003,-0.319611497,12.0283445227464,27.5,11.3351127305823,4.05546512416118,0,0,0,1,0
"TLS",2,10.0795017207507,0.00455658299011245,13.7612032523205,0,0.16327336182326,7.48659649685506,0.605,0,-0.593197930666667,0,28.5,7.78749811020316,0.549729718753693,0,0,0,1,0
"YEM",2,15.4528214551616,0.0211197095624146,16.3348980999112,0,0.569219123629695,10.2153234339131,0.482,4.21973234582486,-1.83570812133333,11.9022205399158,26,9.6467282145305,4.34956698220638,0,0,0,1,0
"BGD",2,16.0508154878294,0.105483838553245,18.0537426420923,10.4693125945207,0.949396998841312,12.3077992866563,0.579,7.12100414535892,-0.779563576,10.6258051103959,25,10.1704398711527,5.05336660317639,0,1,0,0,0
"BRN",2,12.7644228862813,0.0124627937554598,12.8200332101988,0,1.68454538492091,9.34151336075133,0.865,3.77596732501117,0.542355179833333,4.85203026391962,27.5,8.40350584752693,1.68417425854812,0,1,0,0,0
"KHM",2,16.3653085211608,0.00505761766261338,14.7964115584021,0,1.19771743115399,9.90437465894086,0.563,5.01352165454729,-0.753027804,0,27,10.5901161366358,4.49434119351625,0,1,0,0,0
"CHN",2,19.0128036348554,0.0190520623594425,19.5640007192515,8.43420746683755,1.58024225179583,16.2313480976449,0.738,2.84978459112579,-0.419930289166667,9.88542540971772,15,13.1907078123551,6.54163046822293,0,1,0,0,0
"DJI",2,9.62849622298669,0.0152379770746014,13.585513575449,0,0.260112093077075,7.454719949364,0.473,1.7884275669347,-0.873833447666667,6.5191472879404,26,7.02869983797498,0.242728960450097,0,1,0,0,0
"EGY",2,14.6371309413351,0.00223073905051264,17.3255074551397,7.36833968631138,0.832006336546899,12.7152730994227,0.691,3.53157058658279,-0.877489373,10.3298984251598,23,10.6072025423296,2.56669930470027,0,1,0,0,0
"IND",2,17.9542098472425,0.0147097442810369,19.3978242466738,5.9621479855238,0.429758806966011,14.632552503898,0.624,6.69101883251502,-0.186531864166667,13.78727053575,26,12.2533976521183,5.95353819590673,0,1,0,0,0
