"country","method","citation"
"United States Of America","Ecological research","Carlson, JK. & Simpfendorfer, CA. (2015). Recovery potential of smalltooth sawfish, Pristis pectinata, in the United States determined using population viability models. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 187-200."
"Australia","Ecological research","Gleiss, AC., Potvin, J., Keleher, JJ., Whitty, JM., Morgan, DL. & Goldbogen, JA. (2015). Mechanical challenges to freshwater residency in sharks and rays. Journal of Experimental Biology 218, 1099-1110."
"Australia","Ecological research","Feutry, P., Kyne, PM., Grewer, PM., Chen, X. & Liu, M. (2015). Whole mitogenome of the Endangered dwarf sawfish Pristis clavata (Rajiformes: Pristidae). Mitochondrial DNA 26, 329-330."
"Australia","Ecological research","Morgan, DL., Allen, MG., Ebner, BC., Whitty, JM. & Beatty, SJ. (2015). Discovery of a pupping site and nursery for critically endangered green sawfish Pristis zijsron. Journal of Fish Biology 86, 1658-1663."
"Guinea-Bissau","Local ecological knowledge","Leeney, RH. & Poncelet, P. (2015). Using fishers' ecological knowledge to assess the status and culturl importance of sawfish in guinea-Bissau. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 411-430."
"Brazil","Local ecological knowledge","Giglio, VJ., Luiz, OJ. & Gerhardinger, LC. (2015). Depletion of marine megafauna and shifting baselines among artisanal fishers in eastern Brazil. Animal Conservation 18, 348-358."
"Australia","Ecological research","Feautry, P., Kyne, PM., Pillans, RD., Chen, X., Marthick, JR., Morgan, DL. & Grewer, PM. (2015). Whole mitogenome sequencing regines population structure of the Critically Endangered sawfish Pristis pristis. Marine Ecological Progress Series 533, 237-244."
"Iran","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Pakistan","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Oman","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"United Arab Emerites","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Kuwait","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Qatar","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Bahrain","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Yemen","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Iraq","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Saudi Arabia","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Sudan","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Djibouti","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Somalia","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Egypt","Historical ecology","Moore, ABM. (2015). A review of sawfishes (Pristidae) in the Arabian region: Diversity, distribution, and functional extinction of large and historically abundant marine vertebrates. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 656-677."
"Bahamas","Ecological research","Guttridge, TL., Gulak, SJB., Franks, BR., Carlson, JK., Gruber, SH., Gledhill, KS., Bond, ME., Johnson, G. & Grubbs, RD. (2015). Occurrence and habitat use of the critically endangered smalltooth safish Pristis pectinata in the Bahamas. Journal of Fish Biology 87, 1322-1341."
"Bangladesh","Local ecological knowledge","Hossain, MA., Thompson, BS., Chowdhury, GW., Mohsanin, S., Fahad, ZH., Koldewey, HJ. & Islam, MA. (2015). Sawfish exploitation and status in Bangladesh. Aquatic Conservation - Marine and Freshwater Ecosystems 25, 781-799."
"Brazil","Local ecological knowledge","Reis, JA., Freitas, RHA., Loiola, M., Leite, L., Soerio, G., Oliveira, HHQ., Sampaio, CLS., Nunes, JDACC & Leduc, AOHC. (2016). Traditional fisher perceptions on the regional disappearance of the largetooth sawfish Pristis pristis from the central coast of Brazil. Endangered Species Research 29, 189-200."
"United States Of America","Ecological research","Chen, X., Wiley, T., Kyne, PM. & Feutry, P. (2016). Complete mitochondrial genome of the Critically Endangered smalltooth sawfish Pristis pectinata (Rajiformes: Pristidae). Mitochondrial DNA Part A 27, 3331-3332."
"Australia","Distribution mapping","Simpfendorfer, CA., Kyne, PM., Noble, TH., Goldsbury, J., Basiita, RK., Lindsay, R., Shields, A., Perry, C. & Jerry, DR. (2016). Environmental DNA detects Critically Endangered largetooth sawfish in the wild. Endangered Species Research 30, 109-116."
"United States Of America","Ecological research","Poulakis, GR., Stevens, PW., Timmers, AA., Stafford, CJ., Chapmann, DD., Feldheim, KA., Heupel, MR. & Curtis, C. (2016). Long-term site fidelity of endangered smalltooth sawfish (Pristis pectinaa) from different mothers. Fishery Bulletin 114, 461-475."
"Australia","Ecological research","Chen, X., Kyne, PM., Pillans, RD. & Feutry, P. (2016). Complete mitochondrial genome of the Endangered narrow sawfish Anoxypristis cuspidata (Rajiforms: Pristidae). Mitochondrial DNA Part A 27, 4172-4173."
"Australia","Ecological research","Morgan, DL., Wueringer, BE., Allen, MG., Ebner, BC., Whitty, JM., Gleiss, AC. & Beatty, SJ. (2016). What is the fate of amputee sawfish? Fisheries 41, 71-73."
"United States Of America","Taxonomy","Martinez, CM., Rohlf, FJ. & Frisk, MG. (2016). Re-evaluation of batoid pectoral morphology reveals novel patterns of diversity among major lineages. Journal of Morphology 277, 482-493."
"Gambia","Local ecological knowledge","Leeney, RH. & Downing, N. (2016). Sawfishes in The Gambia and Senegal: Shifting baselines over 40 years. Aquatic Conservation - Marine and Freshwater Ecosystems 26, 265-278."
"Senegal","Local ecological knowledge","Leeney, RH. & Downing, N. (2016). Sawfishes in The Gambia and Senegal: Shifting baselines over 40 years. Aquatic Conservation - Marine and Freshwater Ecosystems 26, 265-278."
"Liberia","Local ecological knowledge","Leeney, RH. (2016). Fishers' ecological knowledge of sawfishes in Lake Piso, Liberia. Aquatic Conservation - Marine and Freshwater Ecosystems 26, 381-385."
"United States Of America","Ecological research","Hollensead, LD., Grubbs, RD., Carlson, JK. & Bethea, DM. (2016). Analysis of fine-scale daily movement patterns of juvenile Pristis pectinata within a nursey habitat. Aquatic Conservation - Marine and Freshwater Systems 26, 492-505."
"Brazil","Ecological research","Nunes, JLS., Rincon, G., Piorski, NM. & Martins, APB. (2016). Near-term embryos in a Pristis pristis (Elasmobranchii: Pristidae) from Brazil. Journal of Fish Biology 89, 1112-1120."
"Italy","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"France","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"Malta","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"Spain","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
"Turkey","Historical ecology","Ferretti, F., Verd, GM., Seret, B., Sprem, JS & Micheli, F. (2016). Falling through the cracks: The fading history of a large iconic predator. Fish and Fisheries 17, 875-889."
