"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","logShelfAreaShallow","SstMean","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"VCT",0,8.3989974520123,0.00328260634765214,11.6317213208843,0.64500680523201,1.19803065637973,6.64538250957848,0.722,0.447978312366692,0.604264701333333,5.46806014113513,5.64787341275688,28,0.681697264352021,0,0,1,0,0
"TTO",0,12.6670477298047,0.0301855368703218,14.0887500871686,2.63905732961526,1.17760945721295,9.9940460062046,0.78,3.1314695574105,0.128207366833333,9.31361872142968,8.14725283711808,27,2.30375364074533,0,0,1,0,0
"USA",0,18.7893949438164,0.0102238577976981,18.6542022336925,6.03527007137941,1.14253889285881,16.7399871876059,0.92,5.52480637437694,1.23872791716667,13.1292198182008,11.7577285380922,22,5.55420329539099,0,0,1,0,0
"URY",0,15.2433146778078,0.0399999527364718,14.7955708904324,10.1155701564909,0.530905682052992,10.8670572119986,0.795,0,0.878506382333333,10.7580305321189,10.0448450795497,19,1.60647043690751,0,0,1,0,0
"VEN",0,15.7946563781073,0.0232006435725376,16.7827836329909,8.01370723295363,1.08579464344805,13.0864466631345,0.767,6.75210548813257,-1.503706336,11.4390205491223,10.1921511242848,27.5,3.92854574998081,0,0,1,0,0
"SLE",1,15.2761319935488,0.0113947900897389,14.9461798203419,5.58724865840025,1.38201635556452,8.22619629767657,0.42,5.85893713575413,-0.669856553333333,10.6791819940636,9.05083044922647,28,1.13704454479087,0,0,1,0,0
"AGO",0,16.6156314549569,0.044612420012562,15.3864001391457,6.22653666928747,1.11745873076166,11.4651639265839,0.533,4.7534857753104,-1.01451735716667,10.670860555448,8.91597707094082,22,1.16866834704839,0,0,1,0,0
"BEN",0,13.475109564916,0.0189441706924323,15.3784260928559,4.69134788222914,0.951694299612814,9.05765877917861,0.485,4.45810178363913,-0.280038916166667,8.61993026886735,7.08223554219781,28,2.58041551824786,0,0,1,0,0
"CMR",0,14.4990691204269,0.00696956505874772,15.0772930140287,6.53877222144661,1.00350649049216,10.3802961007124,0.518,6.48452909916328,-0.9468716085,9.95451331113917,8.10570393812705,28,3.27479740857523,0,0,1,0,0
"COD",0,13.1642510452526,0.0524214990752359,13.9943125951755,6.26720054854136,1.59092803408347,10.3713595364394,0.435,4.14795048358362,-1.56063057966667,9.5643718249695,6.30425915409252,25.5,0.107162170391339,0,0,1,0,0
"COG",0,14.6025267900663,0.0193609856692246,13.5636948612122,10.7359617983172,0,8.96629361294929,0.592,1.88418537426568,-1.03949001433333,9.93163759595247,6.76982517453691,25.5,1.02274573033432,0,0,1,0,0
"CIV",0,15.0799273003066,0.0474256889344444,15.8242193672623,5.6334196175483,1.26846120628303,10.5015987906852,0.474,3.49477086458411,-0.571659281833333,8.54500289205551,7.59430683515356,28,3.26758479916883,0,0,1,0,0
